Date,open,high,low,close,volume,Dividends,Stock Splits
1990-01-02,197.27999877929688,200.3300018310547,196.57000732421875,200.30999755859375,0,0,0
1990-01-03,200.3300018310547,200.8699951171875,199.67999267578125,200.11000061035156,0,0,0
1990-01-04,200.11000061035156,200.11000061035156,197.3000030517578,198.85000610351562,0,0,0
1990-01-05,198.55999755859375,198.55999755859375,196.5,196.86000061035156,0,0,0
1990-01-08,196.89999389648438,197.64999389648438,196.1199951171875,197.5399932861328,0,0,0
1990-01-09,197.5,197.66000366210938,195.5,195.5,0,0,0
1990-01-10,195.5,195.50999450683594,192.77999877929688,194.02999877929688,0,0,0
1990-01-11,194.02999877929688,195.32000732421875,194.02999877929688,194.5,0,0,0
1990-01-12,194.5,194.5,189.77999877929688,189.9499969482422,0,0,0
1990-01-15,189.9499969482422,189.9499969482422,188.0399932861328,188.24000549316406,0,0,0
1990-01-16,188.24000549316406,190.05999755859375,186.3300018310547,190.05999755859375,0,0,0
1990-01-17,190.0500030517578,190.85000610351562,188.16000366210938,188.55999755859375,0,0,0
1990-01-18,188.55999755859375,188.72999572753906,186.8699951171875,188.7100067138672,0,0,0
1990-01-19,188.7100067138672,189.8800048828125,188.7100067138672,189.35000610351562,0,0,0
1990-01-22,189.35000610351562,189.66000366210938,184.86000061035156,184.88999938964844,0,0,0
1990-01-23,184.89999389648438,185.82000732421875,183.80999755859375,185.1199951171875,0,0,0
1990-01-24,185.1199951171875,185.1199951171875,181.0399932861328,184.10000610351562,0,0,0
1990-01-25,184.10000610351562,185.0800018310547,181.97000122070312,182.19000244140625,0,0,0
1990-01-26,182.1999969482422,183.22000122070312,179.7100067138672,181.6300048828125,0,0,0
1990-01-29,181.63999938964844,182.3300018310547,179.5500030517578,181.02000427246094,0,0,0
1990-01-30,181.02000427246094,181.16000366210938,178.14999389648438,179.4199981689453,0,0,0
1990-01-31,179.4199981689453,182.50999450683594,179.4199981689453,182.50999450683594,0,0,0
1990-02-01,182.50999450683594,182.92999267578125,181.97000122070312,182.61000061035156,0,0,0
1990-02-02,182.61000061035156,184.5500030517578,182.3000030517578,184.00999450683594,0,0,0
1990-02-05,184.00999450683594,184.7100067138672,183.85000610351562,184.60000610351562,0,0,0
1990-02-06,184.24000549316406,184.25,182.8699951171875,183.5800018310547,0,0,0
1990-02-07,183.5800018310547,185.57000732421875,182.16000366210938,185.57000732421875,0,0,0
1990-02-08,185.57000732421875,186.8699951171875,184.9499969482422,185.3800048828125,0,0,0
1990-02-09,185.3800048828125,186.22999572753906,185.22000122070312,185.80999755859375,0,0,0
1990-02-12,185.80999755859375,185.80999755859375,184.05999755859375,184.07000732421875,0,0,0
1990-02-13,184.07000732421875,184.5800018310547,182.97999572753906,184.35000610351562,0,0,0
1990-02-14,184.35000610351562,185.39999389648438,184.17999267578125,184.8000030517578,0,0,0
1990-02-15,184.8000030517578,186.41000366210938,184.6699981689453,186.3300018310547,0,0,0
1990-02-16,186.3300018310547,186.72000122070312,185.27999877929688,185.3699951171875,0,0,0
1990-02-20,185.3699951171875,185.3699951171875,182.07000732421875,182.89999389648438,0,0,0
1990-02-21,182.88999938964844,182.88999938964844,181.02999877929688,182.52999877929688,0,0,0
1990-02-22,182.52999877929688,184.22000122070312,181.83999633789062,181.83999633789062,0,0,0
1990-02-23,181.83999633789062,181.83999633789062,179.97999572753906,180.89999389648438,0,0,0
